Operator,Pipeline,Project Name,Location,Status,Type,What's the plan?,What Now?,Longitude,Latitude,Additional geometry,Geo Note
Danskammer LLC ,Central Hudson Gas System,Danskammer Energy Project,"994 River Rd, Newburgh, NY 12550",Not active,Power Plant revamp,To transform a peaker plant that only functioned during peak demand into a fullservice power plant.,"In 2021, the DEC denied an air permit the company needed to move forward with the plans, citing that the project was unable to ""satisfy"" elements of the State's Climate Act. Danskammer tried to overturn the decision with a series of lawsuits but in June the company withdrew their attempts to continute to defy the decision.",-73.97692,41.56587,,Peaker Plant
"NRG - Astoria Gas Turbine Power, LLC",Con Edison Pipeline,Astoria Replacement Project,"31-1 20th Ave, Astoria, NY 11105",Not active,Power Plant revamp,Replace a 50-year-old high-polluting “peaker plant” with a more modern fracked gas facility.,"In 2021, DEC denied an air permit needed for the project and the company has not sought to overturn that. In its denial, the environmental agency said the project was unable to ""satisfy"" elements of the State's Climate Act.",-73.905005,40.778801,,Peaker Plant
Astoria Generationg Company,Transco Pipeline,Gowanus Repowering Project,29th St & 2nd Ave Brooklyn NY 11232,Not active,Power Plant revamp,Transform an existing fracked gas peaker plant into a more modern and efficient power generating station in Sunset Park. ,"Shortly after the State issued denials for the expansion of similar projects in Astoria and Gowanus, the company withdrew their proposal on December 15, 2021. ",-74.014709,40.651234,,Peaker Plant
Williams Transco,Transco pipeline,Williams Pipeline Project,"Rockaway Lateral, NYC",Not active,Pipeline expansion,"Build the Williams Pipeline, a gas infrastructure project that would start in Pennsylvania, make its way through New Jersey and end in New York City’s Rockaways. It would have connected to the Rockaway Lateral, a pipeline that runs under Jacob Riis Park and Jamaica Bay","After three attemts to get permits to build their pipeline, the company finally gave up and notified state authorities in May of 2024 that it would let a 2019 federal permit that green-lit the project expire and would not be seeking an extension.",,,,New Line
Valley Energy Inc,Mountain Valley Pipeline,Unknown. See more here: https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId={F026F18E-0000-C336-9E38-8514A87BA39F},"County Route 60, Chemung, NY",In Progress,Pipeline expansion,A petiton was filed in April of 2024 to bring more gas to the town of Town of Chemung by constructing a pipeline that will accommodate the gas generated from a  renewable natural gas landfill (“RNG”) to be built by WB Chemung.,A public hearing to discuss the project was held in December of 2024.,,,,New Line
Williams Transco,Transco pipeline,Williams Pipeline Project,"Chester County, PA",Not active,Enhancement of pipeline capacity,"Build the Williams Pipeline, a gas infrastructure project that would start in Pennsylvania, make its way through New Jersey and end in New York City’s Rockaways. It would have connected to the Rockaway Lateral, a pipeline that runs under Jacob Riis Park and Jamaica Bay","After three attemts to get permits to build their pipeline, the company finally gave up and notified state authorities in May of 2024 that it would let a 2019 federal permit that green-lit the project expire and would not be seeking an extension.",-75.58820328,40.0504698,,Compressor Station
Williams Transco,Transco pipeline,Williams Pipeline Project,"Somerset County, NJ",Not active,Enhancement of pipeline capacity,"Build the Williams Pipeline, a gas infrastructure project that would start in Pennsylvania, make its way through New Jersey and end in New York City’s Rockaways. It would have connected to the Rockaway Lateral, a pipeline that runs under Jacob Riis Park and Jamaica Bay","After three attemts to get permits to build their pipeline, the company finally gave up and notified state authorities in May of 2024 that it would let a 2019 federal permit that green-lit the project expire and would not be seeking an extension.",-74.59833288,40.40372559,,Compressor Station
Iroquois Gas Trans Co,Iroquois Pipeline,Iroquois ExC Project,"Canada, New York, Connecticut, Long Island",Approved,Enhancement of pipeline capacity,"Push more gas to NYC by expanding four compressor stations, facilities along the pipeline route that boost the flow of gas.","The Iroquois Pipeline Company was awarded a state air permit from New York's Department of Environmental Conservation (DEC) on February 7, 2025 and given the green light to move forward with the project.",,,,Line enhancement
Transcontinental Gas PL,Transco pipeline,Williams Pipeline Project,,Not active,,"Build the Williams Pipeline, a gas infrastructure project that would start in Pennsylvania, make its way through New Jersey and end in New York City’s Rockaways. It would have connected to the Rockaway Lateral, a pipeline that runs under Jacob Riis Park and Jamaica Bay","After three attemts to get permits to build their pipeline, the company finally gave up and notified state authorities in May of 2024 that it would let a 2019 federal permit that green-lit the project expire and would not be seeking an extension.",,,,Line enhancement
Tennessee Gas Pipeline,Tennessee Gas Pipeline ,East 300 Upgrade Project,,Approved,,Push more gas through to Westchester in New York by upgrading or building three compressor stations,"The project's facility has been placed in service, according to a December 2024 report issued by the Tennessee Gas Pipeline company to the Federal Energy Regulatory Commission (FERC).",,,,Line enhancement
